image_ID,position_x
1,733.4841613769531
2,746.3216857910156
3,759.0653686523438
4,772.0343017578125
5,784.8150939941406
6,798.0917663574219
7,810.6306457519531
8,822.7720642089844
9,835.2106628417969
10,847.6492614746094
11,860.0878601074219
12,872.5264587402344
13,884.9650573730469
14,897.4036560058594
15,911.357421875
16,923.6136169433594
17,922.7383728027344
18,906.9852600097656
19,891.2321472167969
20,875.4790344238281
21,859.7259216308594
22,843.9728088378906
23,828.2196960449219
24,812.4665832519531
25,805.0052795410156
26,791.7621154785156
27,780.0233764648438
28,766.3312377929688
29,754.3172607421875
30,741.5744018554688
31,729.5466613769531
32,717.5915832519531
33,705.5043334960938
34,693.6408081054688
35,681.7772827148438
36,669.9137573242188
37,658.0502319335938
38,647.26611328125
39,636.0108337402344
40,624.8858337402344
41,613.6789855957031
42,602.5774230957031
43,591.8258666992188
44,581.0552978515625
45,570.4002990722656
46,559.7649230957031
47,549.3554077148438
48,538.9449462890625
49,528.5344848632812
50,517.9430389404297
51,507.3515930175781
52,496.76014709472656
53,486.168701171875
54,475.57725524902344
55,464.9858093261719
56,460.405517578125
57,455.8252258300781
58,451.24493408203125
59,446.6646423339844
60,442.0843505859375
61,437.5040588378906
62,432.92376708984375
63,428.3434753417969
64,542.5628356933594
65,555.8206176757812
66,568.4353942871094
67,581.9384155273438
68,594.9118041992188
69,607.8307800292969
70,620.0132141113281
71,632.8636779785156
72,645.6909484863281
73,658.9543151855469
74,671.6452026367188
75,683.8609924316406
76,696.8099365234375
77,709.5762634277344
78,722.3024597167969
79,735.3526000976562
80,748.1810913085938
81,760.7161865234375
82,773.9482421875
83,786.8758239746094
84,799.8034057617188
85,812.9078674316406
86,826.2382507324219
87,839.5686340332031
88,851.7379760742188
89,863.9073181152344
90,878.5675048828125
91,891.8556213378906
92,905.1437377929688
93,918.4318542480469
94,931.719970703125
95,945.0080871582031
96,958.2962036132812
97,971.5843200683594
98,987.74853515625
99,1003.9127502441406
100,987.8895263671875
101,969.6372680664062
102,952.8218078613281
103,934.9608764648438
104,917.0999450683594
105,899.239013671875
106,881.3780822753906
107,869.3880310058594
108,854.121826171875
109,838.3418579101562
110,823.2971801757812
111,808.2525024414062
112,793.5700073242188
113,778.3914489746094
114,763.8529968261719
115,749.4866638183594
116,734.5202331542969
117,720.0433349609375
118,705.2474670410156
119,691.0048828125
120,677.1867370605469
121,663.7148742675781
122,649.5764770507812
123,635.3635559082031
124,621.8068542480469
125,607.7321472167969
126,594.4353637695312
127,581.0301818847656
128,567.0655517578125
129,553.4219055175781
130,540.6510925292969
131,527.1046142578125
132,513.7000122070312
133,501.10447692871094
134,487.5497283935547
135,473.99497985839844
136,460.4402313232422
137,446.88548278808594
138,433.3307342529297
139,419.77598571777344
140,410.1498260498047
141,400.52366638183594
142,422.4925079345703
143,444.4613494873047
144,466.43019104003906
145,488.39903259277344
146,495.19822692871094
147,509.77130126953125
148,523.8972778320312
149,537.4507141113281
150,551.8370361328125
151,565.9788208007812
152,579.7908935546875
153,592.7587585449219
154,606.7903747558594
155,620.6028442382812
156,634.1627197265625
157,647.9802856445312
158,661.4978637695312
159,675.2526550292969
160,689.0074462890625
161,702.4670104980469
162,716.0749206542969
163,729.9152526855469
164,743.1467895507812
165,756.8330383300781
166,770.6246643066406
167,784.4811401367188
168,797.8104553222656
169,811.86865234375
170,825.6091613769531
171,839.2854614257812
172,853.22509765625
173,866.2422790527344
174,880.2607116699219
175,893.9642639160156
176,907.6678161621094
177,921.3713684082031
178,935.0749206542969
179,948.7784729003906
180,962.4820251464844
181,976.1855773925781
182,989.8891296386719
183,1002.5869750976562
184,1015.2848205566406
185,967.7285766601562
186,920.1723327636719
187,872.6160888671875
