前臂-13%,31.3,170.7,47.1,151.2,152.9,104.52,117.07,5.19
前臂-23%,32.4,172.2,56.5,162.3,157.5,97.15,108.65,2.29
前臂-10%,23.6,152.2,49.3,146.5,153.1,112.78,111.96,5.67
前臂--100%,10.0,159.7,57.8,148.7,153.9,109.31,80.21,0.41
前臂-11%,19.7,176.8,62.1,152.8,155.4,127.56,68.75,6.05
前臂-8%,21.6,169.8,47.0,142.3,159.0,28.08,116.82,5.6
前臂--5%,15.8,164.9,53.6,143.8,164.8,28.88,164.12,0.73
前臂--6%,11.3,166.6,58.8,146.3,169.3,45.65,81.05,6.16
前臂-5%,19.8,173.8,52.9,154.8,171.7,40.51,112.28,5.25
前臂-1%,16.0,168.8,63.2,160.6,178.2,152.2,118.58,1.52
前臂--3%,5.6,178.9,70.6,164.5,179.7,170.46,73.08,6.12
前臂-96%,28.1,83.9,74.8,174.2,173.5,1.98,105.47,0.12
后臂-243%,73.1,174.9,7.2,148.1,150.7,72.74,130.43,5.66
后臂-177%,79.6,166.0,4.1,141.6,148.0,112.44,126.03,5.5
前臂--42%,34.4,176.8,40.3,140.6,152.6,32.33,48.97,7.27
前臂--95%,26.6,63.4,44.7,140.7,153.2,108.25,49.36,8.28
前臂--41%,8.6,155.2,52.4,151.1,142.0,90.15,126.43,16.25
前臂--54%,45.3,152.9,48.5,168.3,162.1,89.92,178.43,152.27
前臂--26%,53.3,141.2,44.9,160.1,161.7,95.21,112.37,0.38
前臂--188%,22.4,108.4,49.2,119.3,127.7,34.96,173.92,165.98
前臂--199%,24.2,171.7,48.4,118.8,116.9,56.09,139.89,1.25
前臂--198%,18.4,128.7,91.1,131.6,122.6,70.68,46.7,1.68
